"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Dilaudid","Hydromorphone Hydrochloride","TABLET;ORAL","019892","RHODES PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019891s028,019892s035lbl.pdf#page=28"
"Dolophine Hydrochloride","Methadone Hydrochloride","SYRUP;ORAL","006134","HIKMA","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/006134s049lbl.pdf#page=34"
"Dolophine Hydrochloride","Methadone Hydrochloride","TABLET;ORAL","006134","HIKMA","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/006134s049lbl.pdf#page=34"
"Doral","Quazepam","TABLET;ORAL","018708","GALT PHARMS","02/06/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/018708s025lbl.pdf#page=12"
"Doral","Quazepam","TABLET;ORAL","018708","GALT PHARMS","02/06/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/018708s023lbl.pdf#page=12"
"Dotarem","Gadoterate Meglumine","SOLUTION;INTRAVENOUS","204781","GUERBET","07/23/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/204781s012lbl.pdf#page=17"
"Dotarem","Gadoterate Meglumine","SOLUTION;INTRAVENOUS","204781","GUERBET","07/23/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204781s009lbl.pdf#page=29"
"Drizalma Sprinkle","Duloxetine Hydrochloride","CAPSULE, DELAYED RELEASE;ORAL","212516","SUN PHARMA GLOBAL","06/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212516s001lbl.pdf#page=49"
"Drizalma Sprinkle","Duloxetine Hydrochloride","CAPSULE, DELAYED RELEASE;ORAL","212516","SUN PHARMA GLOBAL","06/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212516s000lbl.pdf#page=42"
"Droxia","Hydroxyurea","CAPSULE;ORAL","016295","BRISTOL MYERS SQUIBB","12/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/016295s049s050lbl.pdf#page=15"
"Droxia","Hydroxyurea","CAPSULE;ORAL","016295","BRISTOL MYERS SQUIBB","12/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/016295s051lbl.pdf#page=27"
"Duetact","Glimepiride; Pioglitazone Hydrochloride","TABLET;ORAL","021925","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021925s017lbl.pdf#page=39"
"Duexis","Famotidine; Ibuprofen","TABLET;ORAL","022519","HORIZON","07/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022519s011lbl.pdf#page=22"
"Duexis","Famotidine; Ibuprofen","TABLET;ORAL","022519","HORIZON","07/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022519s012lbl.pdf#page=23"
"Duragesic-100","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019813s079lbl.pdf#page=50"
"Duragesic-12","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019813s079lbl.pdf#page=50"
"Duragesic-25","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019813s079lbl.pdf#page=50"
"Duragesic-37","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019813s079lbl.pdf#page=50"
"Duragesic-50","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019813s079lbl.pdf#page=50"
"Duragesic-75","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019813s079lbl.pdf#page=50"
"Duzallo","Allopurinol; Lesinurad","TABLET;ORAL","209203","IRONWOOD PHARMS INC","08/18/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209203s000lbl.pdf#page=27"
"Dyanavel XR","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","208147","TRIS PHARMA INC","02/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/ 208147s005lbl.pdf#page=17"
"Dyanavel XR","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","208147","TRIS PHARMA INC","02/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208147s003lbl.pdf#page=15"
"Dysport","Abobotulinumtoxina","INJECTABLE; INJECTION","125274","IPSEN BIOPHARM LTD","07/08/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125274s115lbl.pdf#page=31"
"EC-Naprosyn","Naproxen","TABLET, DELAYED RELEASE;ORAL","020067","ATNAHS PHARMA US","07/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/017581s114,018164s064,020067s021lbl.pdf#page=22"
"Edluar","Zolpidem Tartrate","TABLET;SUBLINGUAL","021997","MYLAN SPECIALITY LP","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021997s011lbl.pdf#page=23"
"Effexor","Venlafaxine Hydrochloride","TABLET;ORAL","020151","WYETH PHARMS INC","12/12/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020151s031s055s058s060lbl.pdf#page=34"
"Effexor XR","Venlafaxine Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","020699","UPJOHN","12/19/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020699s110s111lbl.pdf#page=36"
"Effient","Prasugrel Hydrochloride","TABLET;ORAL","022307","ELI LILLY AND CO","03/28/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM238428.pdf"
"Effient","Prasugrel Hydrochloride","TABLET;ORAL","022307","ELI LILLY AND CO","03/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/022307s014lbl.pdf#page=19"
"Effient","Prasugrel Hydrochloride","TABLET;ORAL","022307","ELI LILLY AND CO","03/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022307s016lbl.pdf#page=20"
"Elepsia XR","Levetiracetam","TABLET, EXTENDED RELEASE;ORAL","204417","SPARC","12/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204417s000lbl.pdf#page=27"
"Elidel","Pimecrolimus","CREAM;TOPICAL","021302","BAUSCH","06/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088587.pdf"
"Eliquis","Apixaban","TABLET;ORAL","202155","BRISTOL MYERS SQUIBB","11/26/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/202155s020lbl.pdf#page=40"
"Eliquis","Apixaban","TABLET;ORAL","202155","BRISTOL MYERS SQUIBB","11/26/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202155s021lbl.pdf#page=41"
"Eliquis","Apixaban","TABLET;ORAL","202155","BRISTOL MYERS SQUIBB","11/26/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202155s024lbl.pdf#page=37"
"Elyxyb","Celecoxib","SOLUTION;ORAL","212157","DR REDDYS","05/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212157s000lbl.pdf#page=24"
"Embeda","Morphine Sulfate; Naltrexone Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","022321","ALPHARMA PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022321s028s029lbl.pdf#page=28"
"Embeda","Morphine Sulfate; Naltrexone Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","022321","ALPHARMA PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022321s030lbl.pdf#page=30"
"Emsam","Selegiline","FILM, EXTENDED RELEASE;TRANSDERMAL","021336","SOMERSET","07/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021336s014lbl.pdf#page=34"
"Emsam","Selegiline","SYSTEM; TRANSDERMAL","021708","SOMERSET","02/27/2006","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088589.pdf"
"Enbrel","Etanercept","SYRINGE","103795","IMMUNEX","03/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/ 103795s5569lbl.pdf#page=34"
"Enbrel","Etanercept","VIAL; SUBCUTANEOUS","103795","IMMUNEX","03/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/103795s5574s5577lbl.pdf#page=35"
"Enbrel","Etanercept","SYRINGE","103795","IMMUNEX","03/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103795s5563s5564lbl.pdf#page=34"
"Enbrel","Etanercept","VIAL; SUBCUTANEOUS","103795","IMMUNEX","03/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103795s5563s5564lbl.pdf#page=34"
"Enbrel","Etanercept","VIAL; SUBCUTANEOUS","103795","IMMUNEX","03/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/ 103795s5569lbl.pdf#page=34"
"Enbrel","Etanercept","SYRINGE","103795","IMMUNEX","03/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/103795s5574s5577lbl.pdf#page=35"
"Entyvio","Vedolizumab","INJECTABLE;INJECTION","125476","TAKEDA PHARMS USA","03/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125476s024lbl.pdf#page20"
"Entyvio","Vedolizumab","INJECTABLE;INJECTION","125476","TAKEDA PHARMS USA","03/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125476s022lbl.pdf#page=20"
"Entyvio","Vedolizumab","INJECTABLE;INJECTION","125476","TAKEDA PHARMS USA","03/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125476s025s030lbl.pdf#page=20"
"Envarsus XR","Tacrolimus","TABLET, EXTENDED RELEASE;ORAL","206406","VELOXIS PHARMS INC","12/19/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206406s007lbl.pdf#page=29"
"Eovist","Gadoxetate Disodium","SOLUTION;INTRAVENOUS","022090","BAYER HLTHCARE","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022090s015,201277s015lbl.pdf#page=51"
"Epidiolex","Cannabidiol","SOLUTION;ORAL","210365","GW RES LTD","07/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210365s005s006s007lbl.pdf#page=29"
"Epogen/Procrit","Epoetin Alfa","VIAL; MULTIDOSE","103234","AMGEN","07/25/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103234s5363s5366lbl.pdf#page=27"
"Epogen/Procrit","Epoetin Alfa","VIAL; SINGLE-USE","103234","AMGEN","07/25/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103234s5363s5366lbl.pdf#page=27"
"Epzicom","Abacavir Sulfate; LAmivudine","TABLET;ORAL","021652","VIIV HLTHCARE","05/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021652s023lbl.pdf#page=28"
"Equetro","Carbamazepine","CAPSULE, EXTENDED RELEASE;ORAL","021710","VALIDUS PHARMS","09/23/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021710s11s012lbl.pdf#page=22"
"Erelzi","Etanercept-Szzs","INJECTABLE; INJECTION","761042","SANDOZ","06/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761042s012lbl.pdf#page=39"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","07/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/203388s014lbl.pdf#page=13"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","07/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/203388s011lbl.pdf#page=12"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","07/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/203388s012lbl.pdf#page=13"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","07/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/203388s016lbl.pdf#page=14"
"Esomeprazole Strontium","Esomeprazole Strontium","CAPSULE, DELAYED RELEASE;ORAL","202342","BELCHER","06/07/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/202342s005lbl.pdf#page=29"
"Estazolam","Estazolam","TABLET;ORAL","074921","MAYNE PHARMA","02/06/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM359235.pdf"
"Eticovo","Etanercept-Ykro","INJECTABLE;INJECTION","761066","SAMSUNG BIOEPIS CO LTD","04/25/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761066s000lbl.pdf#page=31"
"Evekeo ODT","Amphetamine Sulfate","TABLET, ORALLY DISINTEGRATING;ORAL","209905","ARBOR PHARMS LLC","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/209905s000lbl.pdf#page=15"
"Evenity","Romosozumab-Aqqg","INJECTABLE;INJECTION","761062","AMGEN INC","12/20/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761062s000lbl.pdf#page=19"
"Evista","Raloxifene Hydrochloride","TABLET;ORAL","020815","LILLY","06/27/2018","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Evista","Raloxifene Hydrochloride","TABLET; ORAL","022042","LILLY","09/13/2007","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Exalgo","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021217","SPECGX LLC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf#page=31"
"Exjade","Deferasirox","TABLET, FOR SUSPENSION;ORAL","021882","NOVARTIS","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021882s033lbl.pdf#page=28"
"Extavia","Interferon Beta-1b","INJECTABLE; SUBCUTANEOUS","125290","NOVARTIS PHARMS","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125290s067lbl.pdf#page=16"
"Extraneal","Icodextrin","SOLUTION;INTRAPERITONEAL","021321","BAXTER HLTHCARE","12/04/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM135933.pdf"
"Factive","Gemifloxacin Mesylate","TABLET;ORAL","021158","LG CHEM LTD","05/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021158s026lbl.pdf#page=30"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","05/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202293s018lbl.pdf#page=38"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","05/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202293s022lbl.pdf#page=38"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","05/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202293s020lbl.pdf#page=47"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","05/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202293s021lbl.pdf#page=38"
"Farydak","Panobinostat LActate","CAPSULE;ORAL","205353","SECURA","06/06/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM436377.pdf"
"Felbatol","Felbamate","TABLET;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Felbatol","Felbamate","SUSPENSION;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Feldene","Piroxicam","CAPSULE;ORAL","018147","PFIZER","05/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/018147s044lbl.pdf#page=16"
"Feldene","Piroxicam","CAPSULE;ORAL","018147","PFIZER","05/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/018147s048lbl.pdf#page=16"
"Fensolvi Kit","Leuprolide Acetate","POWDER;SUBCUTANEOUS","213150","TOLMAR","05/01/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213150s000lbl.pdf#page=15"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","078907","SPECGX LLC","09/07/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/078907MedGuide.pdf"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","077312","PAR PHARM","09/07/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/077312MedGuide.pdf"
"Fentora","Fentanyl Citrate","TABLET;BUCCAL, SUBLINGUAL","021947","CEPHALON","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021947s029lbl.pdf#page=20"
"Ferriprox","Deferiprone","TABLET;ORAL","021825","CHIESI","02/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021825s004lbl.pdf#page=11"
"Ferriprox","Deferiprone","SOLUTION;ORAL","208030","CHIESI","02/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208030s002lbl.pdf#page=11"
"Ferriprox","Deferiprone","TABLET;ORAL","212269","CHIESI","05/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212266s000lbl.pdf#page=14"
"Ferriprox","Deferiprone","SOLUTION;ORAL","208030","CHIESI","02/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/208030s004lbl.pdf#page=11"
"Ferriprox","Deferiprone","TABLET;ORAL","021825","CHIESI","02/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/ 021825s007lbl.pdf#page=21"
"Fetzima","Levomilnacipran Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","204168","ALLERGAN","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/204168s006lbl.pdf#page=28"
"Fintepla","Fenfluramine Hydrochloride","SOLUTION;ORAL","212102","ZOGENIX INC","06/25/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212102s000lbl.pdf#page=23"
"Fioricet W/ Codeine","Acetaminophen; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","020232","ACTAVIS LABS UT INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020232s044lbl.pdf#page=41"
"Fiorinal W/Codeine","Aspirin; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","019429","ALLERGAN","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019429s043lbl.pdf#page=39"
"Firdapse","Amifampridine Phosphate","TABLET;ORAL","208078","CATALYST PHARMS","11/28/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208078s000lbl.pdf#page=11"
"Flector","Diclofenac Epolamine","SYSTEM;TOPICAL","021234","INST BIOCHEM","03/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021234s015lbl.pdf#page=21"
"Flector","Diclofenac Epolamine","SYSTEM;TOPICAL","021234","INST BIOCHEM","03/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021234s016s017lbl.pdf#page=22"
"Flowtuss","Guaifenesin; Hydrocodone Bitartrate","SOLUTION;ORAL","022424","BKK PHARMS","06/28/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022424s002lbl.pdf#page=26"
"Floxin","Ofloxacin","TABLET;ORAL","019735","JANSSEN PHARMS","02/25/2011","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019735s061MedG.pdf"
"Fluoxetine Hydrochloride","Fluoxetine Hydrochloride","TABLET;ORAL","202133","ALVOGEN","01/04/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/202133s004s005lbl.pdf#page=40"
"Focalin","Dexmethylphenidate Hydrochloride","TABLET;ORAL","021278","NOVARTIS","11/19/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021278s011s019lbl.pdf#page=15"
"Focalin","Dexmethylphenidate Hydrochloride","TABLET;ORAL","021278","NOVARTIS","11/19/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021278s026lbl.pdf#page=14"
"Focalin","Dexmethylphenidate Hydrochloride","TABLET;ORAL","021278","NOVARTIS","11/19/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021278s023lbl.pdf#page=14"
"Focalin XR","Dexmethylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021802","NOVARTIS","11/19/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021802s033lbl.pdf#page=17"
"Focalin XR","Dexmethylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021802","NOVARTIS","11/19/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021802s036lbl.pdf#page=18"
"Focalin XR","Dexmethylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021802","NOVARTIS","11/19/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021802s019s029lbl.pdf#page=19"
"Foradil","Formoterol Fumarate","POWDER;INHALATION","020831","NOVARTIS","03/02/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088602.pdf"
"Foradil Certihaler","Formoterol Fumarate","POWDER;INHALATION","021592","NOVARTIS","06/02/2010","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088603.pdf"
"Forfivo XL","Bupropion Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022497","ALVOGEN","12/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022497s004lbl.pdf#page=32"
"Forfivo XL","Bupropion Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022497","ALVOGEN","12/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022497s008lbl.pdf#page=33"
"Forteo","Teriparatide","SOLUTION;SUBCUTANEOUS","021318","LILLY","04/06/2020","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088604.pdf"
"Fortesta","Testosterone","GEL, METERED;TRANSDERMAL","021463","ENDO PHARMS","06/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021463s025lbl.pdf#page=21"
"Fosamax","Alendronate Sodium","TABLET;ORAL","020560","MERCK AND CO INC","08/16/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM241519.pdf"
"Fosamax","Alendronate Sodium","TABLET;ORAL","020560","MERCK AND CO INC","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax","Alendronate Sodium","SOLUTION;ORAL","021575","MERCK","11/30/2015","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM241519.pdf"
"Fosamax","Alendronate Sodium","SOLUTION;ORAL","021575","MERCK","11/30/2015","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","MERCK","08/16/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM241521.pdf"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","MERCK","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021762s022lbl.pdf#page=23"
"Fosrenol","Lanthanum Carbonate","TABLET, CHEWABLE;ORAL","021468","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021468s020,204734s001lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","TABLET, CHEWABLE;ORAL","021468","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021468s021,204734s003lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","POWDER;ORAL","204734","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021468s023,204734s005lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","POWDER;ORAL","204734","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021468s021,204734s003lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","TABLET, CHEWABLE;ORAL","021468","TAKEDA PHARMS USA","05/11/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021468s023,204734s005lbl.pdf#page=12"
"Fycompa","Perampanel","TABLET;ORAL","202834","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202834s016,208277s004lbl.pdf#page=24"
"Fycompa","Perampanel","TABLET;ORAL","202834","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/202834s012,208277s001lbl.pdf#page=24"
"Fycompa","Perampanel","SUSPENSION;ORAL","208277","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/202834s012,208277s001lbl.pdf#page=24"
"Fycompa","Perampanel","TABLET;ORAL","202834","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/202834s014,208277s002lbl.pdf#page=24"
"Fycompa","Perampanel","SUSPENSION;ORAL","208277","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/202834s014,208277s002lbl.pdf#page=24"
"Fycompa","Perampanel","SUSPENSION;ORAL","208277","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202834s016,208277s004lbl.pdf#page=24"
"Gabitril","Tiagabine Hydrochloride","TABLET;ORAL","020646","CEPHALON","08/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229203.pdf"
"Gadavist","Gadobutrol","SOLUTION;INTRAVENOUS","201277","BAYER HLTHCARE","07/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/201277s018lbl.pdf#page=22"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","07/14/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/203441s002lbl.pdf#page=10"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","07/14/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/203441s012lbl.pdf#page15"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","07/14/2020","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM333533.pdf"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","07/14/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/203441s013lbl.pdf#page=17"
"Gilenya","Fingolimod Hydrochloride","CAPSULE;ORAL","022527","NOVARTIS","12/26/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022527s029s030lbl.pdf#page=26"
"Gimoti","Metoclopramide Hydrochloride","SPRAY, METERED;NASAL","209388","EVOKE PHARMA INC","06/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/209388s000lbl.pdf#page=17"
